iter	RMSE
111	0.1143896352
112	0.114341543
113	0.1142068517
114	0.1141467928
115	0.1140418293
116	0.1139496358
117	0.1137882699
118	0.1137366024
119	0.1136097069
120	0.1135364818
121	0.1134408851
122	0.1133468657
123	0.1132551756
124	0.1131066331
125	0.1130092172
126	0.1129125232
127	0.112843321
128	0.1127867728
129	0.112693844
130	0.1126085259
131	0.1125367003
132	0.1124518222
133	0.1123264173
134	0.1121833771
135	0.1121563429
136	0.1120450323
137	0.1120149462
138	0.1119064911
139	0.1118674149
140	0.1117586749
141	0.1117102241
142	0.1116612214
143	0.1116294772
144	0.1115655859
145	0.1113897271
146	0.1113174155
147	0.111188815
148	0.1110474784
149	0.1109510462
150	0.1108814276
151	0.1108332471
152	0.1107739512
153	0.1107149965
154	0.1106520121
155	0.1105768903
156	0.1105248472
157	0.1104558552
158	0.1104262591
159	0.1103661091
160	0.1102414971
161	0.1101890764
162	0.1101253626
163	0.1100631896
164	0.1100223607
165	0.1099636555
166	0.1098916637
167	0.1098570831
168	0.1098069999
169	0.1097701211
170	0.1097202505
171	0.10964197
172	0.1095978193
173	0.109530093
174	0.109474796
175	0.1094379558
176	0.1093732951
177	0.1093133636
178	0.109255345
179	0.1092155511
180	0.1091755277
181	0.1091444102
182	0.109117097
183	0.1090800508
184	0.1090428706
185	0.1089210429
186	0.1088839267
187	0.1088302683
188	0.1087792476
189	0.108744862
190	0.1087104403
191	0.108654265
192	0.1085710807
193	0.1085375952
194	0.1085050459
195	0.1083769844
196	0.1083453112
197	0.1083145208
198	0.1081911413
199	0.1081611749
200	0.1081320414
201	0.1080844612
202	0.1080528444
203	0.1080295851
204	0.1079950716
205	0.1079680475
206	0.1079155843
207	0.1078892977
208	0.1078637399
209	0.1078151126
210	0.1076954509
211	0.1076705559
212	0.1076463493
213	0.107598058
214	0.1074827557
215	0.107442833
216	0.1073989079
217	0.1073759501
218	0.1073536251
219	0.1073229497
220	0.1073040125
221	0.1072033552
222	0.1071770631
223	0.1070700741
224	0.1070498333
225	0.1069616163
226	0.1069020042
227	0.106803835
228	0.1067246906
229	0.1067060498
230	0.1066700513
231	0.1066491407
232	0.1066225011
233	0.1065845941
234	0.1065697541
235	0.1065499435
236	0.1065364315
237	0.1065002798
238	0.1064814841
239	0.1064685894
240	0.1064568757
241	0.1063668549
242	0.1063398035
243	0.1062806672
244	0.1062475266
245	0.1062254793
246	0.1061906109
247	0.1061693688
248	0.106154163
249	0.1061232692
250	0.1059869211
251	0.1057628438
252	0.1056923212
253	0.105680698
254	0.1055266067
255	0.1055153027
256	0.1053540972
257	0.1052561904
258	0.1052372194
259	0.1051975475
260	0.1050479943
261	0.1049538455
262	0.1048153271
263	0.1047971802
264	0.1046488459
265	0.1045588114
266	0.1044186515
267	0.1043252224
268	0.1042413679
269	0.1041094823
270	0.104091293
271	0.104073692
272	0.1038588546
273	0.103812866
274	0.1037605646
275	0.1037097968
276	0.1036812738
277	0.1035496686
278	0.1035352393
279	0.1035191871
280	0.1033090687
281	0.1032995246
282	0.1032271111
283	0.1032048419
284	0.1031586977
285	0.1031495744
286	0.1031347016
287	0.1029976237
288	0.1028372382
289	0.1027978834
290	0.1026577855
291	0.1026360163
292	0.1025381288
293	0.1025293467
294	0.1023174269
295	0.1021858942
296	0.102148884
297	0.1019810748
298	0.101890298
299	0.1018291487
300	0.101815354
301	0.1017091142
302	0.1016727163
303	0.1015719567
304	0.1015466461
305	0.101420896
306	0.1013162284
307	0.1011460464
308	0.1011359823
309	0.1010876681
310	0.1010526784
311	0.1008667688
312	0.1007961816
313	0.1007479277
314	0.1006861894
315	0.1005582778
316	0.1004521439
317	0.100403769
318	0.1003947085
319	0.1002531095
320	0.1002331491
321	0.1001453104
322	0.1001254685
323	0.09995331674
324	0.09994157469
325	0.09993028128
326	0.09984104421
327	0.09975550253
328	0.09974820087
329	0.09968547585
330	0.09967398491
331	0.09953394901
332	0.09952336913
333	0.09939300684
334	0.09928910289
335	0.09917064469
336	0.09915731918
337	0.09912682907
338	0.09895580458
339	0.09884252543
340	0.09883163845
341	0.09878238839
342	0.09871053677
343	0.09866689064
344	0.09859494062
345	0.09850077155
346	0.09841810615
347	0.09826506544
348	0.09815435175
349	0.09806727664
350	0.09803457408
351	0.09795544783
352	0.09789138262
353	0.09780633216
354	0.09775030532
355	0.09765346765
356	0.09762959494
357	0.09759497363
358	0.09748523404
359	0.09739060595
360	0.09730820966
361	0.09717188997
362	0.09709468036
363	0.09696835707
364	0.0968281742
365	0.09673194567
366	0.09665908025
367	0.09652993746
368	0.0964007518
369	0.09639129915
370	0.09629053669
371	0.09622497247
372	0.0962158735
373	0.09616503996
374	0.09610159206
375	0.09600476331
376	0.09589282178
377	0.09588730713
378	0.0958280809
379	0.09577186393
380	0.09573717479
381	0.09560988876
382	0.09557079371
383	0.09551227535
384	0.09546102174
385	0.09545562619
386	0.09538488879
387	0.09529389241
388	0.09513899547
389	0.09513373135
390	0.09501119645
391	0.09490241114
392	0.09477753063
393	0.09471659659
394	0.09466003724
395	0.09465490032
396	0.09455579191
397	0.09447221786
398	0.09440528075
399	0.09433071092
400	0.09427876269
401	0.09422559658
402	0.09415884612
403	0.09407376093
404	0.09404139201
405	0.09396324967
406	0.0939582465
407	0.09395338368
408	0.0938959985
409	0.09375537328
410	0.09371002956
411	0.0936059971
412	0.0935574316
413	0.09353704789
414	0.09352807216
415	0.0934491379
416	0.09337496582
417	0.09332601778
418	0.09328005138
419	0.09319052257
420	0.09318257972
421	0.09312478546
422	0.09302242086
423	0.09294401072
424	0.09290881802
425	0.0928351124
426	0.09282668993
427	0.09281798181
428	0.092704439
429	0.09267218131
430	0.09262495391
431	0.0925447223
432	0.09251529664
433	0.09248731091
434	0.09240978705
435	0.09235575788
436	0.09232941881
437	0.09220990546
438	0.09212029135
439	0.09211607521
440	0.09203738679
441	0.09201193752
442	0.09200797753
443	0.09200082922
444	0.091905632
445	0.09183769499
446	0.09173273663
447	0.09168153672
448	0.09161537272
449	0.09154820214
450	0.09147436005
451	0.09144893694
452	0.09141423212
453	0.09138160511
454	0.09129743272
455	0.0912229799
456	0.09120389634
457	0.09112903798
458	0.09099712878
459	0.09090703309
460	0.09090326481
461	0.09075895541
462	0.09068680868
463	0.0906532027
464	0.09055996336
465	0.09043977905
466	0.09037944177
467	0.09037256134
468	0.0903689173
469	0.09028946583
470	0.09019221803
471	0.09008841097
472	0.09005851977
473	0.08999294889
474	0.08992451462
475	0.0899209527
476	0.08979929059
477	0.0897280018
478	0.08965655624
479	0.08955361236
480	0.08953847235
481	0.08948314427
482	0.08939175992
483	0.08932141866
484	0.08923892311
485	0.08923178165
486	0.08915725724
487	0.08907418588
488	0.08902346842
489	0.08892683223
490	0.08881774938
491	0.08881431391
492	0.08874938346
493	0.08869266318
494	0.08863691066
495	0.08856540848
496	0.08846112015
497	0.08844695183
498	0.08839955957
499	0.08834667033
